"Subject","Fluency_Item","Switch_Value","Switch_Method"
827,"bird",0,"troyerextended"
827,"elephant",1,"troyerextended"
827,"giraffe",0,"troyerextended"
827,"gorilla",0,"troyerextended"
827,"monkey",0,"troyerextended"
827,"ostrich",1,"troyerextended"
827,"armadillo",1,"troyerextended"
827,"pangolin",0,"troyerextended"
827,"lion",0,"troyerextended"
827,"puma",0,"troyerextended"
827,"cheetah",0,"troyerextended"
827,"octopus",1,"troyerextended"
827,"tiger",1,"troyerextended"
827,"eagle",1,"troyerextended"
827,"hawk",0,"troyerextended"
827,"horse",1,"troyerextended"
827,"zebra",1,"troyerextended"
827,"baboon",0,"troyerextended"
827,"hyena",0,"troyerextended"
828,"gorilla",2,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"monkey",0,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"salamander",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"horse",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"pig",0,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"cow",0,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"chicken",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"goat",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"donkey",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"bird",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"snake",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"rat",0,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"mouse",0,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"mole",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"dog",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"cat",0,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"hamster",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"guinea pig",0,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"spider",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"fly",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"bee",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"wasp",0,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"centipede",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
828,"bat",1,"multimodaldelta_alpha=0.9_rise=1.0_fall=0.0"
829,"dog",2,"troyerextended"
829,"cat",0,"troyerextended"
829,"rabbit",0,"troyerextended"
829,"gerbil",0,"troyerextended"
829,"mouse",0,"troyerextended"
829,"chinchilla",0,"troyerextended"
829,"iguana",0,"troyerextended"
829,"bird",0,"troyerextended"
829,"owl",0,"troyerextended"
829,"fish",1,"troyerextended"
829,"snake",0,"troyerextended"
829,"lion",1,"troyerextended"
829,"bear",1,"troyerextended"
829,"peacock",1,"troyerextended"
